NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Suresh Super Market,+(91)9963836501,4.1,338,"House No 4-9-107/B, Street No 3, Nacharam, Hyderabad - 500076, Near Hmt Kaman, HMT Nagar",Hyderabad,Grocery Stores
Ushodaya Super Market,+(91)9121282771,4.1,296,"Door No 1-5-117/2, Old Alwal-alwal, Hyderabad - 500010, Near Loyola College",Hyderabad,Grocery Stores
Heritage Fresh,18004252931,3.7,294,"House No 1-90/2/46/1,  Survey No 86(part), Madhapur, Hyderabad - 500081, Vittalrao Nagar",Hyderabad,Grocery Stores
Kwality Super Market,+(91)4064606070,3.8,291,"Shop No 129/1, Main Road, Bowenpally, Hyderabad - 500011, Opposite HDFC Bank, Manovikas Nagar",Hyderabad,Grocery Stores
Anusha Super Market,+(91)9866256181,4.1,289,"Door No 13-6-439/1/A/52, PGR Enclave, Gudi Malkapur, Hyderabad - 500028, Opposite Pillar No 68, Kings Palace, Balaji Nagar",Hyderabad,Grocery Stores
Heritage Fresh,+(91)4044249590,3.7,287,"2480, Uma Nagar Colony, Bowenpally, Secunderabad, Akbar Road, Sikh Village, Hyderabad - 500009",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9247728089,3.7,286,"Plot No 6,478/6, Number 8, V V Nagar, Street, Habsiguda, Hyderabad - 500007",Hyderabad,Grocery Stores
Rajshree Food Mart,+(91)6300936965,4.4,269,"1-57/32, Rajeevnagar, Gachibowli, Anjaiah Nagar-Gachibowli, Hyderabad - 500032, Opposite Furniture City",Hyderabad,Grocery Stores
S Mart Super Market,+(91)4064442999,3.9,253,"Plot No 182b, Bommera Residency, Main Road, Raghavendra Colony Kondapur, Hyderabad - 500084, Opposite Lane to RTA Office",Hyderabad,Grocery Stores
Ak Mart,+(91)9848015039,4.0,239,"Paramount Hills, Hafiz Baba Nagar, Hakimpet, Paramount Hills Colony Road, Hyderabad - 500008",Hyderabad,Grocery Stores
Patanjali Mega Store,+(91)4027966516,3.8,216,"1186, Temple Road, Golnaka, Secunderabad, Alwal, Hyderabad - 500010",Hyderabad,Grocery Stores
The Peoples Mart,+(91)4029886318,4.1,211,"Door 162664/1, Press Road, Malakpet, Hyderabad - 500036, Judges Colony, New Malakpet",Hyderabad,Grocery Stores
Sujaya Smart Market,+(91)9985101254,4.0,204,"Neeladri Tower, Maa Villa Road, Mayuri Nagar, Nizampet, Bachupally, Hyderabad - 500090",Hyderabad,Grocery Stores
Shiv Super Market,+(91)4066833794,4.1,203,"Door No 12-2-831/84/A, Sagar Towers, Mehdipatnam X Road, Mehdipatnam, Hyderabad - 500028, Opposite Gm Medical",Hyderabad,Grocery Stores
Heritage Fresh,+(91)04044249590,3.5,200,"Abids, Ground Floor, Municipal No:-5-9-194/A/1. Chiragali Lane,, Heritage Fresh, Ranga Reddy Dist, Abids, Hyderabad - 500001",Hyderabad,Grocery Stores
Rainbow Super Market,+(91)4027207600,3.7,186,"Shop No, VT Road, Uppal, Hyderabad - 500092, Near KKR Gardens",Hyderabad,Grocery Stores
Srinivasa Super Market,+(91)4024528121,4.1,179,"20-3-734, AK Vajpayee Bulding, Thagari Naka, Hussaini Alam, Hyderabad - 500002, Opp Rajasthan School ,",Hyderabad,Grocery Stores
Nilgiris Sweets & Namkeen,+(91)9246202122,3.9,178,"Door No 4-2-575, Ratan Kutir, Main Road, Sultan Bazar-koti, Hyderabad - 500095, Near Badichowdi Police Station",Hyderabad,Grocery Stores
Ghanshyam Super Market,+(91)7569333999,4.2,174,"Shop No 62/A, Bowenpally, Hyderabad - 500011, Near Centre Point Hotel, Icrisat Colony",Hyderabad,Grocery Stores
Big Value Super Market,+(91)9700440455,4.0,172,"Flot No 151/1 Radhanagar, Radhanagar, Suncity-Langar House, Hyderabad - 500008, Opposite Ganesh Temple Near KK Convention",Hyderabad,Grocery Stores
Heritage Mart,+(91)4044249590,4.0,167,"Ground Floor, Plot No.10-13 & 18-20, Sy No.317/2,, Premises No.16-11-740/9, 16-11-740/9/7,Near Shivg, Malakpet, Hyderabad - 500060",Hyderabad,Grocery Stores
Heritage Fresh,+(91)9100032884,3.7,164,"Kalimandir road, Suncity-Langar House, Hyderabad - 500008, Beside Jaweed Habib",Hyderabad,Grocery Stores
Sri Satya Sai Big Bazar,+(91)9441118554,3.8,163,"Shop.No. 2, Road No. 5, Rk Puram, Kothapet, Hyderabad - 500035",Hyderabad,Grocery Stores
Isha Products (joys Living),+(91)9966199610,4.3,157,"2nd Floor, Canara Bank / Green Trends Building, 9th Phase Road, Behind Sujana Forum Mall, KPHB Colony, Hyderabad - 500085, Sujana Forum Mall",Hyderabad,Grocery Stores
Heritage Fresh Supermarket,+(91)4023423930,3.6,146,"Door No 63/1, Sai Teja Residency, Sanjeeva Reddy Nagar, Hyderabad - 500038, Vengal Rao Nagar, Opposite More Super Market",Hyderabad,Grocery Stores
Bhavani Super Market,+(91)4027225484,3.9,144,"Door No 24-82/1A, Anandbagh Main Road, Malkajgiri, Hyderabad - 500047, Opposite ADR Hospital",Hyderabad,Grocery Stores
Sri Prasana Satyanarayana K..,+(91)9885934635,4.2,139,"Door No 1-8-703/2/3, Main Road, Nallakunta, Hyderabad - 500044, Beside Shankar Mutt Temple",Hyderabad,Grocery Stores
24 Mantra Organic Farm Shop,+(91)6301698950,4.0,131,"HIG No 72 Shop No 1, Temple Bus Stop Road, Kphb Colony, Hyderabad - 500085, Opposite Manjeera Water Tank, 3rd Phase",Hyderabad,Grocery Stores
K S Deewan Grand Bazar,+(91)9989561899,3.6,130,"Bazar guard x road, Bazarghat, Hyderabad - 500004, Near famous flower merchant",Hyderabad,Grocery Stores
Meghraj M Kirana Store,+(91)04024745542,4.0,124,"Door No 15-8-126/127, Begum Bazar, Hyderabad - 500012, Near Swasthik Mirch Store, Chudi Bazar",Hyderabad,Grocery Stores
Shoppers Bazaar,+(91)4066770777,3.8,112,"Shop No 10-5-32, Rahmath Residency, Ahmed Nagar, Masab Tank, Hyderabad - 500028",Hyderabad,Grocery Stores
Heritage Fresh,+(91)4023423936,3.9,111,"Road No 12, Banjara Hills, Hyderabad - 500034, Near ICICI Bank, Opposite Reliance Digital",Hyderabad,Grocery Stores
Sri Satyanarayana Kirana Po..,+(91)4027667647,4.1,105,"Shop No: #1-8-703/2/3&4, Osmania University Main Road, Nallakunta, Hyderabad - 500044, Beside Shanker Mutt Temple",Hyderabad,Grocery Stores
Fancy Kirana And General St..,+(91)4024568107,4.1,105,"22-1-119, Kali Khaber, Chaderghat, Hyderabad - 500024, Near Imbilibun Bus Station",Hyderabad,Grocery Stores
Agarwal Super Bazar,+(91)4066487966,4.1,102,"10-1-85&86, Nehru Nagar, West Marredpally, Hyderabad - 500026, Near New Lions Club Eye Hospital",Hyderabad,Grocery Stores
Dilip Super Market,+(91)9247891010,4.1,101,"Door No 29/3 Rt, Vijay Nagar Colony, Masab Tank, Hyderabad - 500028, Near Lane Beside Andhra Bank,",Hyderabad,Grocery Stores
Kerala Handlooms Super Stor..,+(91)4027110349,4.0,101,"Door No 32-70/2, Bank Colony, Ramakrishnapuram, Ramakrishnapuram, Hyderabad - 500056, Near Fly Over",Hyderabad,Grocery Stores
Sahaja Fresh Supermarket,+(91)4023558589,3.8,92,"House No 8-2-293/82, Shop No 16, Road Number 72, Prashasan Nagar, Jubilee Hills, Hyderabad - 500033, Beside Prakruthivanam Organic Store",Hyderabad,Grocery Stores
Polimeraas,+(91)7732096622,4.3,88,"Plot # 186, 1st Floor, Pragathi Nagar, Pragathi Nagar Road, Hyderabad - 500090",Hyderabad,Grocery Stores
Tawakkal Enterprises,+(91)4024411990,4.1,82,"Shop No 16-3-237/1, Chanchalguda Road, Chanchalguda, Hyderabad - 500024, Opp Chanchalguda Hospital,Abdar Khana",Hyderabad,Grocery Stores
Vasavi Kirana And General S..,+(91)9866482540,2.7,82,"Moti Nagar, Hyderabad - 500018, Opposite Shankar Matam Temple",Hyderabad,Grocery Stores
Shilpa Super Market,+(91)9866778811,3.7,81,"Door No 1-90/2-E/A, Sri Sai Nilayam, Vinayak Nagar Colony, Madhapur, Hyderabad - 500081, Behind Dominos Pizza, Beside Image Hospital",Hyderabad,Grocery Stores
New Hyderabad Agencies,+(91)9391012712,4.3,79,"Plot No 15-8-176/1, Begum Bazar Road, Begum Bazar, Hyderabad - 500012, Opposite Fish Market",Hyderabad,Grocery Stores
Ashok Stores,+(91)4024068305,4.3,78,"H : No 16-2-835/11/A/1, Saidabad Colony, Saidabad, Hyderabad - 500059, Beside Post Office",Hyderabad,Grocery Stores
GM Kirana & General Store,+(91)9246377883,4.4,75,"Shop No 9-4-133/A/13, Seven Tombs Road, Toli Chowki, Hyderabad - 500008, Opposite Shahi Garden",Hyderabad,Grocery Stores
Bajrang Stores,+(91)9985769954,3.8,74,"4, , 24 24, 30/2, Sivapuri Colony, No 2 Road, Malkajgiri, Hyderabad - 500047, Malkajgiri",Hyderabad,Grocery Stores
Paddyzz,+(91)4042217675,4.1,72,"Door No 18-81/A, Chaitanyapuri, Hyderabad - 500060, Near Chaitanyapuri Bus Stop, Opposite Metro Pillar No. A1561",Hyderabad,Grocery Stores
Mansoor Brothers Kirana Gen..,+(91)9030992068,3.8,72,"Indra Nagar, Nacharam, Hyderabad - 500076",Hyderabad,Grocery Stores
Asra Kirana & General,+(91)9948489786,3.9,70,"Shop No. 8-2-293/82/A/1, Jawahar Nagar Colony, Jubilee Hills, Hyderabad - 500033, Near Annapurna Studio Back Side Lane",Hyderabad,Grocery Stores
