NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Noble Plus Pharmacy & Skin ..,+(91)02224219292,4.2,341,"Shop No 14/15, Jayant Apartment, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, Near Beu Monde Towers",Mumbai,Pharmacy
Noble Chemist,+(91)02228479101,4.1,335,"Shop No 8 & 9, B Wing, Ground Floor, Nahar Shopping Plaza, Chandivali-Andheri East, Mumbai - 400072, Near Amrit Shakti",Mumbai,Pharmacy
Wellness Forever,+(91)02512301611,4.1,331,"Shop No 13/14, Ground Floor, A Wing, Rose Flower Valley Building, Murbad Road, Kalyan West, Thane - 421301, Near Khadakpada Circle",Mumbai,Pharmacy
General Medical,+(91)2223009500,4.0,326,"Shop No 1, Ground Floor, Dukanwala Estate, Dr Anandrao Nair Road, Mumbai Central, Mumbai - 400008, Opposite Nair Hospital",Mumbai,Pharmacy
Mohan Chemist,+(91)02226319955,4.0,320,"Shop No 11, Nebula Building, 4th Cross Lane, Lokhandwala Complex-Andheri West, Mumbai - 400053, Opposite Fantasy Fashion Wear",Mumbai,Pharmacy
Pharmeasy.in (Head Office),+(91)7666100300,4.0,319,"1st Floor, Tower 1, Commercial 2, Kohinoor Business Park, Premier Road, Kurla West, Mumbai - 400070",Mumbai,Pharmacy
Kamath & Company Medical St..,+(91)7506878378,4.4,316,"Saroja Arcade, Patkar Road, Dombivli East, Thane - 421201, Near Railway Station",Mumbai,Pharmacy
Life Panacea,+(91)02225707744,4.1,315,"Shop No 10, Cypress Co-operative Housing Society, Central Avenue Road, Powai, Mumbai - 400076, Near Hiranandani Gardens",Mumbai,Pharmacy
Rakhangis Medical Stores,+(91)2224952844,4.3,308,"7, Himalaya Co Operative Housing Society, R.G Thadani Marg, Worli, Mumbai - 400018, Neaxt to Flora Restaurant, Worli Seaface",Mumbai,Pharmacy
Parag Medical Shop,+(91)8329184192,4.1,297,"Shop No 17, Shivraj Building, Agashi Road, Virar West, Palghar - 401303, Opposite Axis Bank",Mumbai,Pharmacy
