NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
LEIDEN,+(91)4224393997,3.3,58,"Shop No 54, Avarampalayam Road, Sidhapudur, Coimbatore - 641044, Near to Anbu studio",Coimbatore,Grocery Stores
Nds Store,+(91)9442460104,4.5,27,"Hudco Colony Phase Ii, Vellakinar Tnhb Colony, Vellakinar Village, Kurudampalayam, Coimbatore - 641022",Coimbatore,Grocery Stores
Sri Ganapathy Stores,+(91)4224275955,4.6,26,"No : 96, Narayana Guru Road, Saibaba Colony, Coimbatore - 641011, Near Narayana Guru Mission",Coimbatore,Grocery Stores
Kannan Grocery Shop,+(91)9994209438,4.6,24,"148,, Illango Nagar, Krishnarayapuram, Coimbatore - 641006, Near Elango Nagar East 2",Coimbatore,Grocery Stores
S.p.g Department Store,+(91)4222511617,3.6,23,"Shop No 1, V K Road, Peelamedu, Coimbatore - 641004, Near Naturals",Coimbatore,Grocery Stores
Shubam Super Market,+(91)4224982030,4.3,20,"343, Sathy Road, Ramakrishnapuram, Sivanandhapuram, Coimbatore - 641049",Coimbatore,Grocery Stores
Fadan Farm Products,+(91)4222446647,4.1,22,"NSR Road 274, Alaganan Street ,5th Cross, Saibaba Colony, Coimbatore - 641011, Opp to SBI Bank",Coimbatore,Grocery Stores
Grocers Supermarket,+(91)9585150772,3.8,20,"Nehru Nagar, Murugan Nagar, Church Road, Ramanathapuram Coimbatore, Coimbatore - 641045",Coimbatore,Grocery Stores
Sri Annapoorani Stores,+(91)8111010310,3.5,20,"Maruthamalai Main Road, Vadavalli, Coimbatore - 641041, Nearby Svarga Residency",Coimbatore,Grocery Stores
Sri Annapoorani Stores,+(91)8111010310,3.5,20,"Marudhamalai Main Road, Vadavalli, COIMBATORE - 641041, Near Svarga Residency",Coimbatore,Grocery Stores
Kumudham Super Markets,+(91)4222672099,2.9,20,"Ground Floor S B Tower, Pollachi Road,Sundrapuram, Sundarapuram, Coimbatore - 641024, Near By Signal",Coimbatore,Grocery Stores
Ootyees Super Market,+(91)4222220731,3.9,19,"739-A, Avinashi Road, Coimbatore Central, Coimbatore - 641018",Coimbatore,Grocery Stores
Shri Kannan Departmental St..,+(91)4254227244,3.7,45,"No 3/1, Railway Station Road, Mettupalayam, Coimbatore - 641301, Behind Bus Stand",Coimbatore,Grocery Stores
NAMMA STORE.ONLINE,+(91)9655666699,4.8,18,"SHOP NO 1, NO 13, 8TH SREET, Kannappa Nagar, Coimbatore - 641027, RATHINAPURI POST",Coimbatore,Grocery Stores
City Mart,+(91)4224516070,4.2,18,"Shop No: 66, Duraisamy Layout, Peelamedu, Coimbatore - 641004, Avarampalayam Road Near to Post Office",Coimbatore,Grocery Stores
Sri Ganesh Stores,+(91)4222470545,3.9,31,"No 330, D B Road, RS Puram Coimbatore, Coimbatore - 641002, Near Axis Bank",Coimbatore,Grocery Stores
Venkatesha Oil Mills,+(91)4222529225,4.1,18,"No 175, Bharathiyar Road, Sidhapudur, Coimbatore - 641044, Near Sidhapudur Bus Stop Opp to Women",Coimbatore,Grocery Stores
Krs Stores,+(91)9092597736,4.0,17,"63, Rajarajeshwari Nagar, Eachanari, Coimbatore - 641021",Coimbatore,Grocery Stores
Jose Pineapple Park,+(91)9786567333,4.5,17,"174, Karuppa Goundar St, Kempatty Colony, Town Hall, Town Hall, Coimbatore - 641001",Coimbatore,Grocery Stores
V V Super Market,+(91)4222317260,4.3,18,"No 947, Trichy Road, Ramanathapuram Coimbatore, Coimbatore - 641045, Near Bata Show Room",Coimbatore,Grocery Stores
Angella Store,+(91)4222510609,4.3,20,"11/4a, Raja Nagar, Bharathi Nagar, Ganapathi So, Coimbatore - 641006, Police Quarters Road",Coimbatore,Grocery Stores
Sri Kowshika Dharani Store,+(91)9994435220,4.4,17,"No 52, Luna Nagar, Abbas Garden, TVS Nagar, Coimbatore - 641025, Opp Rithick Tea Company",Coimbatore,Grocery Stores
Kps Stores,+(91)8807424447,3.4,16,"No 1112, Annai Velankanni Nagar, Sowripalayam, Coimbatore - 641028, Near Park",Coimbatore,Grocery Stores
Pickmybag,+(91)7373746007,3.4,16,"No91,Rajiv Gandhi Nagar,Phase 1, Sowripalayam, Coimbatore - 641028",Coimbatore,Grocery Stores
Tharam Organic,+(91)9894398947,4.7,16,"No 1st St, Vcs Nagar, Gn Mills, Coimbatore - 641029, Near A1 Chips",Coimbatore,Grocery Stores
Karthikeyan Stores,+(91)4222422070,4.4,14,"2/5, Maruthamalai Main Road, Vadavalli, Coimbatore - 641041",Coimbatore,Grocery Stores
Mahaveer Provision Store,+(91)4222555551,3.8,14,"13, Venkatachalam Road East, RS Puram Coimbatore, Coimbatore - 641002, Near Rajasthan Sangh Bhavan",Coimbatore,Grocery Stores
Vinayaga Store,,3.3,15,"No 122, Vilankurichi Road, Vinayagapuram, Coimbatore - 641049, Near Textool Subramaniyam Nagar",Coimbatore,Grocery Stores
Vinayaga Store,+(91)7010053315,2.3,14,"Shop No.4 Pathivalar Colony, Sundarapuram Post, Sundarapuram, Coimbatore - 641024",Coimbatore,Grocery Stores
Mm Store,+(91)9865960844,4.7,13,"70, Periyar Nagar, Masakalipalayam, Kalluri Nagar, Peelamedu, Coimbatore - 641004",Coimbatore,Grocery Stores
Pick My Bag,+(91)4222576007,4.2,13,"10b/1, Ramarstreet, Srinivasa Nagar, Uppilipalayam, Coimbatore - 641015",Coimbatore,Grocery Stores
Sri Vishnu Stores,+(91)9790010611,4.0,10,"Gct Nagar, Kanuvai Road, Kasthuri Naickenpalayam, Coimbatore - 641041, Near By Vinayagar Temple",Coimbatore,Grocery Stores
Samson Store,+(91)9965918235,5.0,12,"86 Kavundampalayam, Giri Nagar, Kuppakonam Pudur, Kuppakonanpudur, Coimbatore - 641038, City Cake Shop",Coimbatore,Grocery Stores
Jabes Store,+(91)9842525169,4.5,13,"No 8 Koilmedu, Sasthri Street, Velandipalayam, Coimbatore - 641025, Near Puliyamaram",Coimbatore,Grocery Stores
Anand Departmental Store,+(91)9940964469,4.1,12,"Shop No 51, 52, M T P Main Road, Kavundampalayam, Coimbatore - 641030, Near to Kavundampalayam Bus Stop",Coimbatore,Grocery Stores
Ram Ram Departmental Store,+(91)9789497094,4.0,15,"No 4/120 B2 & B3, Vadavalli to Kanuvai Road, Somayampalayam, Coimbatore - 641108, Near Ppbs School",Coimbatore,Grocery Stores
Priya Traders,+(91)4222598688,3.7,13,"No 66, Masakalipalayam Road, Peelamedu, Coimbatore - 641004, Balan Nagar",Coimbatore,Grocery Stores
Smart Shoppie,+(91)9952547360,4.5,11,"91/92, Maniakaranpalayam Road, Ganapathy, Coimbatore - 641006, Opp to Green Park Apartment",Coimbatore,Grocery Stores
Shahin Store,+(91)9092655022,4.4,11,"Karumbukadai, Coimbatore - 641008",Coimbatore,Grocery Stores
Thaai Rice & Maligai Stores,+(91)4222490809,4.0,11,"177 A, Sastri Road, Rathinapuri, Coimbatore - 641027",Coimbatore,Grocery Stores
Thanjavur Arisi Aalai,+(91)7373035527,4.0,11,"Shop No.300, Pulakadu, Kuniamuthur, Palakkad Main Road, Kunniyamuthur, Coimbatore - 641008",Coimbatore,Grocery Stores
Sri Thirumurugan Traders,+(91)9843362947,3.8,11,"No : 24, Kovaipudhur Main Road, Perur, Coimbatore - 641010, Near by Postal Colony",Coimbatore,Grocery Stores
A R Departmental Stores,+(91)9967452103,3.5,23,"55, Maruthmalai Road,, Vadavalli, Coimbatore - 641041, Near Mariyamman Temple",Coimbatore,Grocery Stores
Jeba Store,+(91)4222513590,4.7,10,"Mig, Peelamedu, Gandhima Nagar Road, Gandhimaa Nagar, Coimbatore - 641004",Coimbatore,Grocery Stores
Rk Store,+(91)8122425846,4.7,12,"Venkata Lakshmi Nagar, Chellandy Amman Nagar, Uppilipalayam, Coimbatore - 641015",Coimbatore,Grocery Stores
Sasikala Stores,+(91)9994406069,4.6,11,"25,, Kallukuli Street, Sundarapuram, Coimbatore - 641024, Near By Anandhas Hotel",Coimbatore,Grocery Stores
Nellai Sri Krishna Stores,+(91)9865309031,4.4,10,"Mtp Main Road, Teachers Colony, Coimbatore - 641024",Coimbatore,Grocery Stores
Barathamani Store,+(91)9994472460,4.2,10,"Sidco Post, Marg, Nagar, Kurichi, Coimbatore - 641021",Coimbatore,Grocery Stores
Thiruchendur Murugan Stores,+(91)8124100833,4.1,10,"No.50 Kns Complex, Chitra Nagar, Saravanampatti, Coimbatore - 641035, Near Aryas Hotel",Coimbatore,Grocery Stores
Jeba Store,+(91)9751110607,3.8,11,"#15, New 2nd St, Rajiv Gandhisalai, Mullai Nagar, Pn Pudur, Ganapathy, Coimbatore - 641006",Coimbatore,Grocery Stores
Sri Krishna Departmental St..,+(91)04222424514,3.4,11,"No 10-B, Marudhamalai Main Road, Vadavalli, Coimbatore - 641041, Near Kalidas Theatre",Coimbatore,Grocery Stores
Mpm Stores,+(91)9894948239,4.8,9,"No 121-B, Vilankurichi, Coimbatore - 641035, Cheranmanagar",Coimbatore,Grocery Stores
Sri Senthur Murugan Malliga..,+(91)9489872172,4.6,9,"Vinayagapuram, Coimbatore - 641049",Coimbatore,Grocery Stores
Kumar Super Market,+(91)9843361117,4.5,9,"No 8/61 B, Megarali Street, Vellalore, Coimbatore - 641016, Near Vinayagar Temple, Gandhi Nagar",Coimbatore,Grocery Stores
Kalpaga Stores,+(91)9949250002,4.1,9,"Palaniyappa Nagar, Neelikonampalayam, Coimbatore - 641033",Coimbatore,Grocery Stores
Sri Manikandan Stores,+(91)9443899603,4.8,12,"Venkatasamy Layout, New Siddhapudur, Venkatasamy Road, Sidhapudur, Coimbatore - 641044",Coimbatore,Grocery Stores
Sree Sai Stores,+(91)9842997973,4.8,13,"Mig,2963, Gandhimanagar, Peelamedu, Coimbatore - 641004, Near Water Board Office",Coimbatore,Grocery Stores
Muthumalai Store,+(91)4224200842,4.7,8,"Shop No: 17, , R.S. Puram, Venkata Krishna Road, RS Puram Coimbatore, Coimbatore - 641002",Coimbatore,Grocery Stores
Sri Ramajeyam Stores,+(91)9994764795,4.6,8,"218, Damodarswamy Nagar, Thirumagal Nagar, Masakalipalayam, Coimbatore - 641028",Coimbatore,Grocery Stores
Nasem Grocery Store,+(91)4222451658,4.5,9,"No 1/1 Ammasai Steert, 4th Street, Kuppakonanpudur, Coimbatore - 641038, Opposite Kumar Stores Road",Coimbatore,Grocery Stores
Malabar Stores,+(91)4222532162,4.5,8,"SHop No 20, 21 Sowmiya Complex, Sathy Main Road, Ganapathy, Coimbatore - 641006, Opp to Cms Matric School",Coimbatore,Grocery Stores
Chakravarthy Thuhil Maaliga..,+(91)4254228695,2.3,25,"338 d, Main Road , Main Road, Mettupalayam, Coimbatore - 641301",Coimbatore,Grocery Stores
Arogya Raj Stores,+(91)9865952444,4.3,8,"Pollachi Main Road, Kurichi, Sundarapuram, Coimbatore - 641024, Near Saradha Mill",Coimbatore,Grocery Stores
M.m.store Maligai & Fancy S..,+(91)9994109617,4.0,8,"34c, Madukkarai Road , Sidco, Marg, Nagar, Kurichi, Coimbatore - 641021",Coimbatore,Grocery Stores
Jbm Malligai Store,+(91)9487288864,3.8,8,"100, Mohammed Gani Rowthar Street, Ukkadam, Coimbatore - 641001, Opposite to Raja Store",Coimbatore,Grocery Stores
Ms Store,+(91)8098848858,3.7,8,"356/6, Six Corner, Dr.Radhakrishnan Road, Tatabad, Coimbatore - 641012",Coimbatore,Grocery Stores
