NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Jai Maa Jivdani Stores,+(91)8459237207,3.7,3,"Shop No 3 Ayesha Manzil, Rahamat Nagar Road, Nalasopara East, Palghar - 401209, Near Sitara Bakery",Gujarat,Grocery Stores
New Manisha Store,+(91)02226478971,5.0,1,"Building No 35, Room No 1897, MHB Colony, Ram Mandir Road, Bandra East, Mumbai - 400051",Gujarat,Grocery Stores
Kausa Food Bazar,+(91)9967410644,4.3,74,"Nausheen Plaza Shop No.6, Opp. Kausa Police Chowki, Old Mumbai Pune Road, Kausa, Thane - 400612, Opposite Kausa Jama Masjid  Near Alajwa Sweets",Gujarat,Grocery Stores
Champion Foods,+(91)9833372840,4.3,424,"69 Kanchan Palace, M G Road, Vile Parle East, Mumbai - 400057, Near Pritam Hotel",Gujarat,Grocery Stores
Chetna Stores,+(91)8806882220,4.7,17,"Plot No 52, Chandan Building, Kansai Road, Ambernath, Thane - 421501, Near Kansai Section",Gujarat,Grocery Stores
Jem Dal Mill,+(91)2228802539,4.3,124,"Shop No 3, Ajendu Building, Road No 1, Malad West, Mumbai - 400064, Near Bank Of Maharashtra, Liberty Garden",Gujarat,Grocery Stores
Om Shri Arihant Store,+(91)8369309933,4.8,42,"Shop No 2 Suvidha Building, R R T Road, Mulund West, Mumbai - 400080, Opposite Vibhutee Saree",Gujarat,Grocery Stores
Champion Stores,+(91)9833915603,4.6,26,"Shop 2 So Lucky Corner, Mongibai Road, Vile Parle East, Mumbai - 400057, Near Gawade Hospital",Gujarat,Grocery Stores
Anant Foodland,+(91)2226202291,4.2,286,"Shop No 1, Juhu Church Road, Juhu, Mumbai - 400049, Near Juhu Gymkhana Club and Juhu Bus Depo",Gujarat,Grocery Stores
Shree Swami Gajanan Super M..,+(91)8652807656,4.3,8,"Sakuaai Compound, Chinchpada D Wing, Shop No 9-14, Kalyan East, Thane - 421306, Near Saket College, Opposite Tuljabhavani Mandir",Gujarat,Grocery Stores
Hypercity Retail India Ltd,18002097172,4.2,20535,"New Link Road, Malad West, Mumbai - 400064, Next to Inorbit Mall, Mindspace",Gujarat,Grocery Stores
Manish Market,+(91)9833807112,3.9,7667,"Unit No 2, Ramabai Ambedkar Marg, Fort, Mumbai - 400001, Near Chhatrapati Shivaji Terminus Area",Gujarat,Grocery Stores
Big Bazaar (Metro Junction ..,+(91)02512350500,3.9,7304,"Metro Junction Mall, Sheel Road, Kalyan West, Kalyan - 421301, Near Shilphata, Netivali Village",Gujarat,Grocery Stores
Hypercity Retail INDIA Ltd,18002097172,4.0,7067,"Ground Floor, Big Thane Shopping Centre, Ghodbunder Road, Thane West, Thane - 400601, Behind Kasarwadawali Police Station, Kasarvadawali Gaon",Gujarat,Grocery Stores
Big Bazaar (Raghuleela Mall..,+(91)7710077229,4.0,7060,"C/O Raghuleela Mall, Ground Floor, Vashi, Navi Mumbai - 400703, Opposite Vashi Railway Station",Gujarat,Grocery Stores
Big Bazaar,+(91)02502320092,4.0,6460,"252 A, Dattani Cube, Bhabola Papdi Road, Vasai West, Palghar - 401201, Near Dattani Village, Near Telephone Exchange, Sandoor",Gujarat,Grocery Stores
Big Bazaar,+(91)9967797442,3.9,6360,"Yashwant Building, Dongri Bypass Road, Virar West, Palghar - 401302, Next to Mcdonalds Family Restaurant, Opposite Magnus Motors",Gujarat,Grocery Stores
Big Bazaar (Maxus Mall),+(91)8879273822,3.9,5666,"C/O Maxus Mall, Bhayandar West, Thane - 401101, Next to Fly Over, Near Temba Hospital Road",Gujarat,Grocery Stores
Sahakari Bhandar,+(91)02261362850,4.0,4588,"Plot No 843, Kashinath Dhuru Road, Prabhadevi, Mumbai - 400025, Near Junction Of SK Bole Road, Agar Bazaar, Chuchwadi",Gujarat,Grocery Stores
Star Bazaar,+(91)2267194500,4.0,3714,"Ground Floor, Shriji Arambh, Kanakia Road, Mira Road, Thane - 401107, Near Kashimira Road, Opposite Mcdonalds",Gujarat,Grocery Stores
Big Bazaar (R Mall),+(91)02233094733,3.9,3521,"1st Floor, R Mall, L B S Marg, Mulund West, Mumbai - 400080, Near Mulund Checknaka, Opposite Richardson Factory Cruddas",Gujarat,Grocery Stores
Godrej Natures Basket,+(91)02226421122,4.2,3403,"Plot No 29, Salsatte Catholic Co-Operative Housing Society, Hill Road No 56, Bandra West, Mumbai - 400050, Next to Bank Of India Building, Near Alco Market",Gujarat,Grocery Stores
Alfa 1,+(91)02226719696,3.9,2807,"116/A, Oskar House, Irla Society Road, Vile Parle West, Mumbai - 400056, Near Cooper Hospital",Gujarat,Grocery Stores
Reliance Smart (Phoenix Mar..,+(91)2240176400,3.9,2744,"Shop No 28 & 29, Phoenix Marketcity Mall, L B S Marg, Kamani-kurla West, Mumbai - 400070",Gujarat,Grocery Stores
Sahakari Bhandar,+(91)02226459350,4.0,2543,"Municipal Building,Ground Floor, Station Road, Bandra West, Mumbai - 400050, Near Railway Station",Gujarat,Grocery Stores
Sahakari Bhandar,+(91)2224096975,4.0,2453,"Shop No 3108, Matunga East, Mumbai - 400019, Behind Aurora Cinema, Kings Circle",Gujarat,Grocery Stores
