NAME,CONTACT NO,RATING,RATING COUNT,ADDRESS,LOCATION,CATEGORY
Star Market,+(91)9029002233,3.9,1790,"694, Banashankari 5th Stage, Subramanyapura, Bengaluru, 4th Main Road, Subramanyapura, Bangalore - 560061",Bangalore,Grocery Stores
Reliance Fresh,+(91)9591299001,3.9,1764,"No. 384/4/1, Sri Sai Lake View, Muddinapalya Road, Srigandhada Kaval, Bangalore - 560091, Near SBI Bank",Bangalore,Grocery Stores
Reliance Fresh,+(91)7899443549,3.9,1653,"Municipal No. 718/A, 9th Cross, Modi Hospital Road,  West Of Chord Road, Chord Road, Bangalore - 560010",Bangalore,Grocery Stores
Shivananda General Stores,+(91)08022287519,4.3,1621,"No.6, Hari Krishna Road, Kumara Park East, Bangalore - 560001, Near Chitrakala Pariishad",Bangalore,Grocery Stores
D Mart,+(91)08026758814,4.2,1573,"Gopalan Mall, Guddadahalli, Bangalore - 560026, Near Mysore Road Toll Gate",Bangalore,Grocery Stores
Amex Supermarket,+(91)8041260888,3.7,1559,"No 415,Ground and 1st Floor, 5th Main Road,OMBR Layout, Banaswadi, Bangalore - 560043, Near Dominos Pizza",Bangalore,Grocery Stores
Safari Shoping Mart,+(91)8026483337,3.9,1551,"#11, Dlf Newtown, Akshayanagar, Bengaluru, DLF New Town, Bangalore - 560076, Near Yelenahalli Rd",Bangalore,Grocery Stores
Hypercity Retail India Ltd ..,18002097172,4.0,1540,"Royal Meenakshi Mall, Lower Ground Floor, Bannerghatta Road, Bangalore - 560076, Opposite To Meenakshi Temple",Bangalore,Grocery Stores
The Big Market,+(91)8041735013,4.1,1474,"No.26/1, G Block, Spoorthi Complex, Airport Road, Sahakara Nagar, Bangalore - 560092, Near International Airport",Bangalore,Grocery Stores
Godrej Natures Basket,+(91)08025207402,4.1,1418,"No.495, Aishwarya Icon, Ground Floor, Chinmaya Mission Hospital Road, Indira Nagar 1st Stage, Bangalore - 560038, Opposite ICICI Bank, Near Cafe Coffee Day",Bangalore,Grocery Stores
Sapna Departmental Stores,+(91)8025524781,3.7,1408,"# 30, Venkatapura Main Road, Koramangala, Bangalore - 560034, Teachers Colony",Bangalore,Grocery Stores
Fab Hypermart,+(91)8048544492,4.0,1379,"58/1, Manipal County Road, Aishwarya Crystal Layout, Bengaluru, Singasandra, Bangalore - 560068",Bangalore,Grocery Stores
Burma Super Market,+(91)8025344777,3.9,1378,"No 116, Maruthinagar, Malleshpalya Main Road, New Thippasandra, Bangalore - 560075, Near Medihope Hospital",Bangalore,Grocery Stores
Godrej Natures Basket,+(91)8025459401,4.2,1372,"No. 7M-215, 7th Main Road, 80 Feet Road, 1st Block, Kammanahalli, Bangalore - 560084, Opposite ICICI Wealth Management",Bangalore,Grocery Stores
Godrej Natures Basket,+(91)08041317401,4.1,1353,"No. 9, 100  Feet Road, Koramangala 5th Block, Bangalore - 560034, Opposite Sukh Sagar Restaurant",Bangalore,Grocery Stores
Ample Mart,+(91)8026539619,4.1,1335,"No.362/7, 16th Main Road, Jayanagar 4th T Block, Bangalore - 560041, Near Jayanagar 4th T Block Bus Stand",Bangalore,Grocery Stores
Star Market,+(91)9029002233,3.8,1252,"B Block, Aecs C Block, Begur, Bengaluru, Lake View County Approach Road, Bangalore - 560068",Bangalore,Grocery Stores
Maha Bazaar,+(91)8028523331,3.9,1234,"Nanda Paraduse Ground Floor, Electronic City Phase 1, Bangalore - 560100, Near Lakshmi Narasimha Swamy Temple",Bangalore,Grocery Stores
The Big Market,+(91)8028478100,4.1,1229,"No.153/2, Dwaraka Nagar, Bagalur Cross,, Kattigenahalli, Bangalore - 560063",Bangalore,Grocery Stores
